parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
2900009,USA,28020,,"Kalamazoo-Portage, Mi",,,CBSA,261426,67905,0,0,0,0
2899838,USA,16620,,"Charleston, Wv",,,CBSA,257927,54473,0,0,0,0
2899898,USA,49420,,"Yakima, Wa",,,CBSA,256143,64910,0,0,0,0
2899804,USA,22020,,"Fargo, Nd-Mn",,,CBSA,251635,73641,0,0,0,0
2899610,USA,13780,,"Binghamton, Ny",,,CBSA,246709,61271,0,0,0,0
2899707,USA,22900,,"Fort Smith, Ar-Ok",,,CBSA,245475,53224,0,0,0,0
2899881,USA,11540,,"Appleton, Wi",,,CBSA,242972,79958,0,0,0,0
2900272,USA,39150,,"Prescott Valley-Prescott, Az",,,CBSA,237830,62430,0,0,0,0
2900442,USA,46340,,"Tyler, Tx",,,CBSA,234667,69053,0,0,0,0
2899739,USA,19300,,"Daphne-Fairhope-Foley, Al",,,CBSA,233420,71039,0,0,0,0
2900086,USA,31420,,"Macon-Bibb County, Ga",,,CBSA,233334,54700,0,0,0,0
2900430,USA,45820,,"Topeka, Ks",,,CBSA,232995,65665,0,0,0,0
2887296,USA,12700,,"Barnstable Town, Ma",,,CBSA,229436,90447,0,0,0,0
2899600,USA,13380,,"Bellingham, Wa",,,CBSA,226523,77581,0,0,0,0
2900300,USA,40340,,"Rochester, Mn",,,CBSA,225911,86788,0,0,0,0
2899811,USA,15540,,"Burlington-South Burlington, Vt",,,CBSA,225745,86183,0,0,0,0
2900035,USA,29200,,"Lafayette-West Lafayette, In",,,CBSA,224515,57188,0,0,0,0
2899837,USA,16580,,"Champaign-Urbana, Il",,,CBSA,223223,62281,0,0,0,0
2900121,USA,32780,,"Medford, Or",,,CBSA,222604,67690,0,0,0,0
2899842,USA,16820,,"Charlottesville, Va",,,CBSA,221648,86188,0,0,0,0
